,4JXS_18U,4JXV_1MU,4JXW_1MW,4KZ3_1U1,4KZ7_1U5,4KZ8_1U6,2R9W_23C,3GVB_3GV,2HDR_4A3,2HDS_4MB,2HDQ_C21,2PU2_DK2,2HDU_F12,3GRJ_G14,3GSG_GF1,3GR2_GF4,3GQZ_GF7,3GTC_GTC,3GV9_GV9,1XGJ_HTC,1XGI_NST,4KZA_NZ9,1PI5_SM2,1PI4_SM3,1L2S_STC,2R9X_WH6
2HDQ_C21,0.75,0.7608695652173914,0.7708333333333334,0.7894736842105263,0.8717948717948718,0.9459459459459459,0.803921568627451,0.8048780487804879,0.7575757575757576,0.7714285714285715,0.0,0.8125,0.6666666666666667,0.7428571428571429,0.8809523809523809,0.9591836734693877,0.8409090909090909,0.8863636363636364,0.65625,0.7608695652173914,0.7551020408163265,0.725,0.7083333333333333,0.6904761904761905,0.7380952380952381,0.8148148148148149
2PU2_DK2,0.7666666666666666,0.7741935483870968,0.78125,0.8596491228070176,0.875,0.9056603773584906,0.4,0.8275862068965517,0.6956521739130435,0.7843137254901961,0.8125,0.0,0.8545454545454545,0.8545454545454545,0.8214285714285714,0.90625,0.8135593220338984,0.9032258064516129,0.8518518518518519,0.7741935483870968,0.8732394366197183,0.8709677419354839,0.7727272727272727,0.84375,0.875,0.543859649122807
2HDU_F12,0.7291666666666667,0.7142857142857143,0.7254901960784313,0.8181818181818181,0.8636363636363636,0.9285714285714286,0.864406779661017,0.8541666666666666,0.7948717948717949,0.7435897435897436,0.6666666666666667,0.8545454545454545,0.0,0.8095238095238095,0.8723404255319149,0.9444444444444444,0.8125,0.9,0.46875,0.74,0.7592592592592593,0.7045454545454546,0.7857142857142857,0.78,0.7173913043478262,0.8709677419354839
3GRJ_G14,0.8490566037735849,0.8545454545454545,0.8596491228070176,0.8444444444444444,0.8888888888888888,0.9534883720930233,0.8035714285714286,0.8043478260869565,0.7948717948717949,0.8048780487804879,0.7428571428571429,0.8545454545454545,0.8095238095238095,0.0,0.8723404255319149,0.9245283018867925,0.86,0.8541666666666666,0.8048780487804879,0.8545454545454545,0.8448275862068966,0.8367346938775511,0.847457627118644,0.8269230769230769,0.8431372549019608,0.8135593220338984
3GSG_GF1,0.9152542372881356,0.9180327868852459,0.9206349206349207,0.9,0.8222222222222222,0.8571428571428572,0.8333333333333334,0.7916666666666666,0.8636363636363636,0.8695652173913043,0.8809523809523809,0.8214285714285714,0.8723404255319149,0.8723404255319149,0.0,0.8888888888888888,0.7755102040816326,0.84,0.8695652173913043,0.9180327868852459,0.9230769230769231,0.8461538461538461,0.9076923076923077,0.896551724137931,0.9122807017543859,0.8412698412698413
3GR2_GF4,0.9032258064516129,0.90625,0.9090909090909091,0.9464285714285714,0.9245283018867925,0.8181818181818181,0.927536231884058,0.9310344827586207,0.9615384615384616,0.9230769230769231,0.9591836734693877,0.90625,0.9444444444444444,0.9245283018867925,0.8888888888888888,0.0,0.9152542372881356,0.8928571428571429,0.9433962264150944,0.9393939393939394,0.927536231884058,0.9333333333333333,0.9583333333333334,0.9538461538461538,0.935483870967742,0.9305555555555556
3GQZ_GF7,0.847457627118644,0.8524590163934427,0.8571428571428572,0.8867924528301887,0.8367346938775511,0.8444444444444444,0.8253968253968254,0.4878048780487805,0.7727272727272727,0.782608695652174,0.8409090909090909,0.8135593220338984,0.8125,0.86,0.7755102040816326,0.9152542372881356,0.0,0.8518518518518519,0.8085106382978724,0.8333333333333334,0.8955223880597015,0.8363636363636364,0.8805970149253731,0.8852459016393442,0.8813559322033898,0.8153846153846154
3GTC_GTC,0.9180327868852459,0.9206349206349207,0.9230769230769231,0.9038461538461539,0.8775510204081632,0.8888888888888888,0.9090909090909091,0.8461538461538461,0.8936170212765957,0.875,0.8863636363636364,0.9032258064516129,0.9,0.8541666666666666,0.84,0.8928571428571429,0.8518518518518519,0.0,0.8979591836734694,0.9206349206349207,0.9253731343283582,0.8518518518518519,0.9264705882352942,0.9180327868852459,0.896551724137931,0.8970588235294118
3GV9_GV9,0.6363636363636364,0.6521739130434783,0.6666666666666667,0.7560975609756098,0.8333333333333334,0.926829268292683,0.8620689655172413,0.851063829787234,0.7894736842105263,0.736842105263158,0.65625,0.8518518518518519,0.46875,0.8048780487804879,0.8695652173913043,0.9433962264150944,0.8085106382978724,0.8979591836734694,0.0,0.6222222222222222,0.653061224489796,0.6,0.7818181818181819,0.7755102040816326,0.6190476190476191,0.8688524590163934
1XGJ_HTC,0.45833333333333337,0.48,0.5,0.7,0.875,0.9642857142857143,0.8059701492537313,0.8275862068965517,0.6363636363636364,0.6808510638297872,0.7608695652173914,0.7741935483870968,0.74,0.8545454545454545,0.9180327868852459,0.9393939393939394,0.8333333333333334,0.9206349206349207,0.6222222222222222,0.0,0.5185185185185186,0.5106382978723405,0.7538461538461538,0.8253968253968254,0.46808510638297873,0.8142857142857143
1XGI_NST,0.5818181818181818,0.5714285714285714,0.5862068965517242,0.7454545454545455,0.864406779661017,0.9666666666666667,0.8493150684931507,0.875,0.8148148148148149,0.7547169811320755,0.7551020408163265,0.8732394366197183,0.7592592592592593,0.8448275862068966,0.9230769230769231,0.927536231884058,0.8955223880597015,0.9253731343283582,0.653061224489796,0.5185185185185186,0.0,0.5490196078431373,0.7857142857142857,0.8181818181818181,0.44897959183673475,0.8552631578947368
4KZA_NZ9,0.48888888888888893,0.5106382978723405,0.5306122448979591,0.7173913043478262,0.8367346938775511,0.9387755102040817,0.8787878787878788,0.8301886792452831,0.8260869565217391,0.7555555555555555,0.725,0.8709677419354839,0.7045454545454546,0.8367346938775511,0.8461538461538461,0.9333333333333333,0.8363636363636364,0.8518518518518519,0.6,0.5106382978723405,0.5490196078431373,0.0,0.7903225806451613,0.7857142857142857,0.4651162790697675,0.8676470588235294
1PI5_SM2,0.765625,0.7727272727272727,0.7794117647058824,0.8524590163934427,0.8852459016393442,0.95,0.75,0.859375,0.7735849056603774,0.8035714285714286,0.7083333333333333,0.7727272727272727,0.7857142857142857,0.847457627118644,0.9076923076923077,0.9583333333333334,0.8805970149253731,0.9264705882352942,0.7818181818181819,0.7538461538461538,0.7857142857142857,0.7903225806451613,0.0,0.24444444444444446,0.8153846153846154,0.7428571428571429
1PI4_SM3,0.8,0.8064516129032258,0.8125,0.875,0.8703703703703703,0.9433962264150944,0.8181818181818181,0.8214285714285714,0.8627450980392157,0.8461538461538461,0.6904761904761905,0.84375,0.78,0.8269230769230769,0.896551724137931,0.9538461538461538,0.8852459016393442,0.9180327868852459,0.7755102040816326,0.8253968253968254,0.8181818181818181,0.7857142857142857,0.24444444444444446,0.0,0.8135593220338984,0.8088235294117647
1L2S_STC,0.5106382978723405,0.5306122448979591,0.5490196078431373,0.6739130434782609,0.8653846153846154,0.9615384615384616,0.8823529411764706,0.8771929824561404,0.8333333333333334,0.6511627906976745,0.7380952380952381,0.875,0.7173913043478262,0.8431372549019608,0.9122807017543859,0.935483870967742,0.8813559322033898,0.896551724137931,0.6190476190476191,0.46808510638297873,0.44897959183673475,0.4651162790697675,0.8153846153846154,0.8135593220338984,0.0,0.8873239436619719
2R9X_WH6,0.8260869565217391,0.8309859154929577,0.8356164383561644,0.875,0.90625,0.9166666666666666,0.26,0.8095238095238095,0.7592592592592593,0.8103448275862069,0.8148148148148149,0.543859649122807,0.8709677419354839,0.8135593220338984,0.8412698412698413,0.9305555555555556,0.8153846153846154,0.8970588235294118,0.8688524590163934,0.8142857142857143,0.8552631578947368,0.8676470588235294,0.7428571428571429,0.8088235294117647,0.8873239436619719,0.0
