,3TKH_07S,4HYH_1AM,4HYI_1AO,4JIK_1KO,3OT3_22K,2HY0_306,2HXQ_373,2CGU_3A3,2CGW_3C3,2CGX_3D3,4QYE_3DL,4QYG_3DW,4QYH_3DX,5OP5_3FE,4RVM_3X7,4RVK_3XK,4RVL_3XL,2HXL_422,5OQ5_4K4,2XF0_4UB,2YM4_4YM,2QHN_582,3NLB_5BE,5DLS_5CV,5F4N_5UY,2HOG_710,2E9N_76A,2QHM_7CS,5OP2_A0Q,5OP4_A0T,5OPB_A1N,5OPR_A3E,5OPV_A3H,5OPU_A3K,5OPS_A3Q,2E9O_A58,3PA3_C70,3PA4_C72,3PA5_C73,6FC8_D4Q,6FCK_D4Z,6FCF_D58,2C3J_DBQ,2BRO_DF2,2BRH_DFW,2BRG_DFY,2BRM_DFZ,2C3L_IDZ,2R0U_M54,3OT8_MI5,2BR1_PFP,2BRB_PFQ,3TKI_S25,1NVR_STU,2YER_TQ1,1NVS_UCM,1NVQ_UCN,2X8D_X8D,2X8E_X8E,2X8I_X8I,2XEZ_XEZ,2YDJ_YDJ,2YDK_YDK,2YEX_YEX,2YM3_YM3,2YM5_YM5,2YM6_YM6,2YM7_YM7,2YM8_YM8,2WMX_ZY6,2WMR_ZYR,2WMV_ZYV,2WMW_ZYW
6FCF_D58,0.8020833333333334,0.8365384615384616,0.8241758241758241,0.6829268292682926,0.8681318681318682,0.8723404255319149,0.8444444444444444,0.88,0.9390243902439024,0.8421052631578947,0.7777777777777778,0.7976190476190477,0.8522727272727273,0.8235294117647058,0.8539325842696629,0.7831325301204819,0.825,0.8556701030927836,0.8252427184466019,0.8311688311688312,0.77,0.8461538461538461,0.8556701030927836,0.8378378378378378,0.8191489361702128,0.8775510204081632,0.8478260869565217,0.7777777777777778,0.8021978021978022,0.85,0.8602150537634409,0.8723404255319149,0.8709677419354839,0.8271604938271605,0.8375,0.8152173913043479,0.5540540540540541,0.3880597014925373,0.6493506493506493,0.36764705882352944,0.6133333333333333,0.0,0.8765432098765432,0.8148148148148149,0.8076923076923077,0.8554216867469879,0.8026315789473684,0.8783783783783784,0.8297872340425532,0.8125,0.8837209302325582,0.8333333333333334,0.8041237113402062,0.8144329896907216,0.8620689655172413,0.8311688311688312,0.7938144329896908,0.8378378378378378,0.8658536585365854,0.8292682926829268,0.8902439024390244,0.65,0.5633802816901409,0.8705882352941177,0.797752808988764,0.8260869565217391,0.8390804597701149,0.8604651162790697,0.8617021276595744,0.788235294117647,0.8513513513513513,0.8953488372093024,0.8452380952380952
2C3J_DBQ,0.9111111111111111,0.8571428571428572,0.8888888888888888,0.8765432098765432,0.8974358974358975,0.8734177215189873,0.8846153846153846,0.9016393442622951,0.9230769230769231,0.873015873015873,0.890625,0.8947368421052632,0.8947368421052632,0.8472222222222222,0.8961038961038961,0.88,0.8840579710144928,0.8809523809523809,0.9052631578947369,0.9104477611940298,0.8842105263157894,0.8769230769230769,0.8941176470588236,0.912621359223301,0.8941176470588236,0.9186046511627907,0.8441558441558441,0.8450704225352113,0.9047619047619048,0.946236559139785,0.8734177215189873,0.858974358974359,0.9,0.8529411764705882,0.8307692307692307,0.8780487804878049,0.8888888888888888,0.8902439024390244,0.8846153846153846,0.8941176470588236,0.8987341772151899,0.8765432098765432,0.0,0.8873239436619719,0.9295774647887324,0.9315068493150684,0.8955223880597015,0.9,0.8375,0.9101123595505618,0.9466666666666667,0.9428571428571428,0.8876404494382022,0.8735632183908046,0.8611111111111112,0.8412698412698413,0.8888888888888888,0.8688524590163934,0.8656716417910448,0.8714285714285714,0.8787878787878788,0.8902439024390244,0.881578947368421,0.855072463768116,0.9024390243902439,0.8902439024390244,0.8648648648648649,0.875,0.9156626506024097,0.8831168831168831,0.847457627118644,0.8857142857142857,0.8888888888888888
2BRO_DF2,0.8681318681318682,0.9313725490196079,0.8953488372093024,0.8837209302325582,0.9294117647058824,0.8941176470588236,0.8780487804878049,0.875,0.9285714285714286,0.8307692307692307,0.8656716417910448,0.8289473684210527,0.8734177215189873,0.7605633802816901,0.8607594936708861,0.8289473684210527,0.8115942028985508,0.9,0.898989898989899,0.8181818181818181,0.84375,0.835820895522388,0.875,0.8529411764705882,0.9,0.8735632183908046,0.8809523809523809,0.8243243243243243,0.872093023255814,0.8924731182795699,0.8941176470588236,0.8941176470588236,0.8658536585365854,0.8309859154929577,0.8088235294117647,0.8588235294117648,0.8690476190476191,0.8705882352941177,0.8641975308641976,0.8488372093023255,0.8205128205128205,0.8148148148148149,0.8873239436619719,0.0,0.6271186440677966,0.7230769230769231,0.28260869565217395,0.8360655737704918,0.8604651162790697,0.9375,0.7076923076923076,0.5892857142857143,0.8571428571428572,0.8924731182795699,0.84,0.8857142857142857,0.8709677419354839,0.8955223880597015,0.9054054054054054,0.88,0.855072463768116,0.8433734939759037,0.8,0.88,0.8823529411764706,0.736842105263158,0.7972972972972973,0.8533333333333333,0.8690476190476191,0.7866666666666666,0.9104477611940298,0.863013698630137,0.881578947368421
2BRH_DFW,0.8372093023255813,0.9183673469387755,0.8780487804878049,0.8795180722891567,0.9523809523809523,0.9036144578313253,0.9012345679012346,0.7894736842105263,0.9411764705882353,0.8225806451612903,0.8225806451612903,0.8533333333333333,0.9113924050632911,0.8194444444444444,0.8846153846153846,0.8378378378378378,0.855072463768116,0.9333333333333333,0.8842105263157894,0.8461538461538461,0.8387096774193549,0.8461538461538461,0.9090909090909091,0.8484848484848485,0.8571428571428572,0.9080459770114943,0.8902439024390244,0.8493150684931507,0.8395061728395061,0.8505747126436781,0.9036144578313253,0.8902439024390244,0.8888888888888888,0.8732394366197183,0.835820895522388,0.8674698795180723,0.8641975308641976,0.8658536585365854,0.8875,0.8433734939759037,0.8289473684210527,0.8076923076923077,0.9295774647887324,0.6271186440677966,0.0,0.49056603773584906,0.5925925925925926,0.8852459016393442,0.8690476190476191,0.935483870967742,0.4716981132075472,0.2727272727272727,0.8522727272727273,0.8764044943820225,0.8648648648648649,0.8461538461538461,0.8539325842696629,0.873015873015873,0.8857142857142857,0.8591549295774648,0.9142857142857143,0.8518518518518519,0.8243243243243243,0.875,0.8780487804878049,0.8076923076923077,0.8533333333333333,0.863013698630137,0.9047619047619048,0.8266666666666667,0.8888888888888888,0.8732394366197183,0.9066666666666666
2BRG_DFY,0.8791208791208791,0.9411764705882353,0.9195402298850575,0.9204545454545454,0.9411764705882353,0.9186046511627907,0.9166666666666666,0.890625,0.927536231884058,0.8636363636363636,0.8636363636363636,0.8860759493670887,0.9135802469135803,0.84,0.9012345679012346,0.8717948717948718,0.875,0.9347826086956522,0.8979591836734694,0.8507462686567164,0.865979381443299,0.8507462686567164,0.9230769230769231,0.8627450980392157,0.898876404494382,0.8977272727272727,0.9310344827586207,0.8831168831168831,0.8705882352941177,0.9032258064516129,0.8928571428571429,0.8795180722891567,0.8641975308641976,0.8767123287671232,0.8405797101449275,0.896551724137931,0.9195402298850575,0.9204545454545454,0.9294117647058824,0.898876404494382,0.8765432098765432,0.8554216867469879,0.9315068493150684,0.7230769230769231,0.49056603773584906,0.0,0.6779661016949152,0.8888888888888888,0.8850574712643678,0.9479166666666666,0.543859649122807,0.40816326530612246,0.8804347826086957,0.9032258064516129,0.868421052631579,0.8840579710144928,0.8817204301075269,0.8769230769230769,0.8888888888888888,0.863013698630137,0.9166666666666666,0.8953488372093024,0.8734177215189873,0.8783783783783784,0.9069767441860466,0.8125,0.8717948717948718,0.881578947368421,0.8809523809523809,0.8311688311688312,0.9253731343283582,0.8918918918918919,0.9230769230769231
2BRM_DFZ,0.8735632183908046,0.9278350515463918,0.8888888888888888,0.8765432098765432,0.925,0.8875,0.8701298701298701,0.864406779661017,0.9230769230769231,0.8166666666666667,0.8548387096774194,0.8169014084507042,0.8648648648648649,0.7794117647058824,0.8513513513513513,0.8169014084507042,0.796875,0.8941176470588236,0.8936170212765957,0.8032786885245902,0.8478260869565217,0.8412698412698413,0.8674698795180723,0.845360824742268,0.8941176470588236,0.8658536585365854,0.858974358974359,0.8450704225352113,0.8641975308641976,0.8863636363636364,0.8875,0.9012345679012346,0.8717948717948718,0.835820895522388,0.8125,0.85,0.8607594936708861,0.8625,0.84,0.8395061728395061,0.7916666666666666,0.8026315789473684,0.8955223880597015,0.28260869565217395,0.5925925925925926,0.6779661016949152,0.0,0.8214285714285714,0.8518518518518519,0.9340659340659341,0.5892857142857143,0.42553191489361697,0.8620689655172413,0.8863636363636364,0.8450704225352113,0.8769230769230769,0.8764044943820225,0.8870967741935484,0.8985507246376812,0.8714285714285714,0.8787878787878788,0.8181818181818181,0.7681159420289855,0.8873239436619719,0.8888888888888888,0.7534246575342466,0.8,0.8428571428571429,0.875,0.7887323943661972,0.9032258064516129,0.8695652173913043,0.8888888888888888
2C3L_IDZ,0.9024390243902439,0.9333333333333333,0.8918918918918919,0.9078947368421053,0.9459459459459459,0.8591549295774648,0.8382352941176471,0.9074074074074074,0.9310344827586207,0.8947368421052632,0.875,0.8823529411764706,0.8823529411764706,0.8970588235294118,0.8840579710144928,0.8656716417910448,0.8305084745762712,0.7887323943661972,0.9090909090909091,0.8596491228070176,0.8735632183908046,0.7962962962962963,0.7887323943661972,0.8571428571428572,0.9512195121951219,0.7857142857142857,0.8591549295774648,0.8615384615384616,0.9230769230769231,0.9534883720930233,0.8088235294117647,0.92,0.8888888888888888,0.8709677419354839,0.8852459016393442,0.88,0.9210526315789473,0.922077922077922,0.9324324324324325,0.9113924050632911,0.8873239436619719,0.8783783783783784,0.9,0.8360655737704918,0.8852459016393442,0.8888888888888888,0.8214285714285714,0.0,0.8666666666666667,0.9146341463414634,0.9076923076923077,0.8813559322033898,0.9540229885057472,0.8888888888888888,0.84375,0.8596491228070176,0.891566265060241,0.78,0.8666666666666667,0.8548387096774194,0.9,0.922077922077922,0.9,0.8548387096774194,0.9066666666666666,0.9078947368421053,0.8823529411764706,0.9264705882352942,0.8918918918918919,0.8695652173913043,0.8888888888888888,0.9393939393939394,0.9090909090909091
2R0U_M54,0.8640776699029127,0.8504672897196262,0.8762886597938144,0.8541666666666666,0.9175257731958762,0.7294117647058824,0.8478260869565217,0.868421052631579,0.9404761904761905,0.9024390243902439,0.6956521739130435,0.8023255813953488,0.8555555555555556,0.7857142857142857,0.8571428571428572,0.8023255813953488,0.8148148148148149,0.846938775510204,0.8504672897196262,0.7567567567567568,0.7864077669902912,0.85,0.9029126213592233,0.7981651376146789,0.892156862745098,0.8333333333333334,0.8,0.8651685393258427,0.8673469387755102,0.8857142857142857,0.851063829787234,0.8631578947368421,0.8369565217391304,0.8024691358024691,0.7162162162162162,0.84375,0.8526315789473684,0.8297872340425532,0.8723404255319149,0.8350515463917526,0.8723404255319149,0.8297872340425532,0.8375,0.8604651162790697,0.8690476190476191,0.8850574712643678,0.8518518518518519,0.8666666666666667,0.0,0.9158878504672897,0.8863636363636364,0.8795180722891567,0.8431372549019608,0.9065420560747663,0.7831325301204819,0.891566265060241,0.8981481481481481,0.8571428571428572,0.8271604938271605,0.6933333333333334,0.7922077922077921,0.8775510204081632,0.8695652173913043,0.8192771084337349,0.8404255319148937,0.75,0.8804347826086957,0.9010989010989011,0.8645833333333334,0.8068181818181819,0.8243243243243243,0.9101123595505618,0.8620689655172413
3OT8_MI5,0.8899082568807339,0.8660714285714286,0.846938775510204,0.7472527472527473,0.6025641025641026,0.8571428571428572,0.8888888888888888,0.9411764705882353,0.9058823529411765,0.9318181818181819,0.9069767441860466,0.8494623655913979,0.8494623655913979,0.8842105263157894,0.8631578947368421,0.8969072164948454,0.8888888888888888,0.875,0.8454545454545455,0.896551724137931,0.8378378378378378,0.8837209302325582,0.8415841584158416,0.884297520661157,0.83,0.8737864077669903,0.8686868686868687,0.8829787234042553,0.8942307692307693,0.8899082568807339,0.8686868686868687,0.8571428571428572,0.8315789473684211,0.8777777777777778,0.9120879120879121,0.8613861386138614,0.7717391304347826,0.7741935483870968,0.8043478260869565,0.78125,0.7777777777777778,0.8125,0.9101123595505618,0.9375,0.935483870967742,0.9479166666666666,0.9340659340659341,0.9146341463414634,0.9158878504672897,0.0,0.9263157894736842,0.9456521739130435,0.8909090909090909,0.9,0.90625,0.896551724137931,0.8918918918918919,0.8780487804878049,0.8488372093023255,0.8791208791208791,0.8850574712643678,0.8,0.8,0.8791208791208791,0.87,0.8932038834951457,0.9081632653061225,0.8314606741573034,0.8811881188118812,0.8762886597938144,0.8765432098765432,0.925531914893617,0.8924731182795699
2BR1_PFP,0.8924731182795699,0.8526315789473684,0.9204545454545454,0.8837209302325582,0.9166666666666666,0.8674698795180723,0.9176470588235294,0.8387096774193549,0.9130434782608696,0.8484848484848485,0.8823529411764706,0.8734177215189873,0.8734177215189873,0.8571428571428572,0.8607594936708861,0.8734177215189873,0.8767123287671232,0.9239130434782609,0.8762886597938144,0.9014084507042254,0.8673469387755102,0.9014084507042254,0.9,0.8415841584158416,0.8352941176470589,0.8604651162790697,0.8941176470588236,0.8701298701298701,0.8850574712643678,0.8160919540229885,0.825,0.8674698795180723,0.8928571428571429,0.8783783783783784,0.875,0.8850574712643678,0.8823529411764706,0.8837209302325582,0.891566265060241,0.9,0.9047619047619048,0.8837209302325582,0.9466666666666667,0.7076923076923076,0.4716981132075472,0.543859649122807,0.5892857142857143,0.9076923076923077,0.8863636363636364,0.9263157894736842,0.0,0.28260869565217395,0.8817204301075269,0.8804347826086957,0.8701298701298701,0.9166666666666666,0.8709677419354839,0.9117647058823529,0.875,0.88,0.9027777777777778,0.896551724137931,0.9024390243902439,0.88,0.8823529411764706,0.8292682926829268,0.858974358974359,0.8378378378378378,0.8823529411764706,0.8765432098765432,0.9264705882352942,0.8933333333333333,0.9102564102564102
2BRB_PFQ,0.8604651162790697,0.9387755102040817,0.9024390243902439,0.9036144578313253,0.9382716049382716,0.9146341463414634,0.9125,0.864406779661017,0.9393939393939394,0.8548387096774194,0.8548387096774194,0.88,0.9090909090909091,0.8142857142857143,0.881578947368421,0.8648648648648649,0.8507462686567164,0.9318181818181819,0.9052631578947369,0.8412698412698413,0.8602150537634409,0.859375,0.9195402298850575,0.8686868686868687,0.8809523809523809,0.8928571428571429,0.9012345679012346,0.8767123287671232,0.8641975308641976,0.8735632183908046,0.9012345679012346,0.8875,0.8860759493670887,0.8695652173913043,0.8307692307692307,0.891566265060241,0.8888888888888888,0.8902439024390244,0.8987341772151899,0.8674698795180723,0.84,0.8333333333333334,0.9428571428571428,0.5892857142857143,0.2727272727272727,0.40816326530612246,0.42553191489361697,0.8813559322033898,0.8795180722891567,0.9456521739130435,0.28260869565217395,0.0,0.8620689655172413,0.898876404494382,0.8611111111111112,0.8769230769230769,0.8764044943820225,0.8870967741935484,0.8985507246376812,0.8714285714285714,0.9117647058823529,0.8625,0.8356164383561644,0.8873239436619719,0.9024390243902439,0.7866666666666666,0.8493150684931507,0.8591549295774648,0.9024390243902439,0.8055555555555556,0.9206349206349207,0.8857142857142857,0.904109589041096
3TKI_S25,0.4025974025974026,0.8272727272727273,0.8383838383838383,0.84,0.9223300970873787,0.8823529411764706,0.8910891089108911,0.891566265060241,0.8953488372093024,0.8837209302325582,0.7848101265822784,0.7888888888888889,0.8279569892473118,0.7586206896551724,0.865979381443299,0.8645833333333334,0.8913043478260869,0.8981481481481481,0.8482142857142857,0.8863636363636364,0.787037037037037,0.9230769230769231,0.8446601941747574,0.8583333333333334,0.8217821782178218,0.897196261682243,0.8484848484848485,0.8494623655913979,0.7684210526315789,0.7941176470588236,0.8932038834951457,0.8,0.87,0.8681318681318682,0.8117647058823529,0.8640776699029127,0.8020833333333334,0.7916666666666666,0.7956989247311828,0.7857142857142857,0.845360824742268,0.8041237113402062,0.8876404494382022,0.8571428571428572,0.8522727272727273,0.8804347826086957,0.8620689655172413,0.9540229885057472,0.8431372549019608,0.8909090909090909,0.8817204301075269,0.8620689655172413,0.0,0.9017857142857143,0.8494623655913979,0.9111111111111111,0.9130434782608696,0.8941176470588236,0.8651685393258427,0.8571428571428572,0.8876404494382022,0.7789473684210526,0.7912087912087912,0.8817204301075269,0.8020833333333334,0.7789473684210526,0.7888888888888889,0.8602150537634409,0.8613861386138614,0.7934782608695652,0.8658536585365854,0.8160919540229885,0.8202247191011236
1NVR_STU,0.8909090909090909,0.8468468468468469,0.86,0.8942307692307693,0.9215686274509804,0.9029126213592233,0.8787878787878788,0.9166666666666666,0.9195402298850575,0.9325842696629214,0.9204545454545454,0.8865979381443299,0.8865979381443299,0.8854166666666666,0.8877551020408163,0.8865979381443299,0.8777777777777778,0.9174311926605505,0.8363636363636364,0.9101123595505618,0.8495575221238938,0.8024691358024691,0.9074074074074074,0.8760330578512396,0.854368932038835,0.9065420560747663,0.892156862745098,0.8089887640449438,0.8737864077669903,0.8380952380952381,0.846938775510204,0.9238095238095239,0.9019607843137255,0.9032258064516129,0.9010989010989011,0.8952380952380953,0.8823529411764706,0.8613861386138614,0.8787878787878788,0.8653846153846154,0.8556701030927836,0.8144329896907216,0.8735632183908046,0.8924731182795699,0.8764044943820225,0.9032258064516129,0.8863636363636364,0.8888888888888888,0.9065420560747663,0.9,0.8804347826086957,0.898876404494382,0.9017857142857143,0.0,0.8723404255319149,0.5942028985507246,0.2777777777777778,0.8076923076923077,0.8636363636363636,0.8804347826086957,0.9230769230769231,0.8725490196078431,0.8645833333333334,0.8555555555555556,0.8484848484848485,0.8725490196078431,0.8387096774193549,0.90625,0.9038461538461539,0.8421052631578947,0.891566265060241,0.8913043478260869,0.8817204301075269
2YER_TQ1,0.8478260869565217,0.8910891089108911,0.8863636363636364,0.875,0.9438202247191011,0.8313253012048193,0.8690476190476191,0.8805970149253731,0.9166666666666666,0.8714285714285714,0.803030303030303,0.85,0.8780487804878049,0.8625,0.8658536585365854,0.8641975308641976,0.8666666666666667,0.8539325842696629,0.8910891089108911,0.8591549295774648,0.8484848484848485,0.7727272727272727,0.8666666666666667,0.8571428571428572,0.9032258064516129,0.7831325301204819,0.8452380952380952,0.8461538461538461,0.8888888888888888,0.9183673469387755,0.872093023255814,0.872093023255814,0.8837209302325582,0.8831168831168831,0.8648648648648649,0.8505747126436781,0.8470588235294118,0.8620689655172413,0.8823529411764706,0.8666666666666667,0.8554216867469879,0.8620689655172413,0.8611111111111112,0.84,0.8648648648648649,0.868421052631579,0.8450704225352113,0.84375,0.7831325301204819,0.90625,0.8701298701298701,0.8611111111111112,0.8494623655913979,0.8723404255319149,0.0,0.8428571428571429,0.8631578947368421,0.5740740740740741,0.5517241379310345,0.5967741935483871,0.8611111111111112,0.875,0.8795180722891567,0.2941176470588235,0.8863636363636364,0.8352941176470589,0.9047619047619048,0.927710843373494,0.8863636363636364,0.8536585365853658,0.8985507246376812,0.9113924050632911,0.9
1NVS_UCM,0.8977272727272727,0.9042553191489362,0.8441558441558441,0.8607594936708861,0.9102564102564102,0.8860759493670887,0.8378378378378378,0.9180327868852459,0.9384615384615385,0.9230769230769231,0.9230769230769231,0.8933333333333333,0.9078947368421053,0.8611111111111112,0.8947368421052632,0.9078947368421053,0.8823529411764706,0.8928571428571429,0.8555555555555556,0.8923076923076922,0.8709677419354839,0.7586206896551724,0.8928571428571429,0.9117647058823529,0.8928571428571429,0.891566265060241,0.9,0.8260869565217391,0.9036144578313253,0.8850574712643678,0.8571428571428572,0.9135802469135803,0.9125,0.9154929577464789,0.9130434782608696,0.9036144578313253,0.8441558441558441,0.8461538461538461,0.8533333333333333,0.8518518518518519,0.821917808219178,0.8311688311688312,0.8412698412698413,0.8857142857142857,0.8461538461538461,0.8840579710144928,0.8769230769230769,0.8596491228070176,0.891566265060241,0.896551724137931,0.9166666666666666,0.8769230769230769,0.9111111111111111,0.5942028985507246,0.8428571428571429,0.0,0.5857142857142856,0.7636363636363637,0.8636363636363636,0.8529411764705882,0.9104477611940298,0.8461538461538461,0.8333333333333334,0.8529411764705882,0.8734177215189873,0.8607594936708861,0.8472222222222222,0.904109589041096,0.9146341463414634,0.8356164383561644,0.8448275862068966,0.8676470588235294,0.8714285714285714
1NVQ_UCN,0.8928571428571429,0.8695652173913043,0.8514851485148515,0.875,0.912621359223301,0.9047619047619048,0.8811881188118812,0.9186046511627907,0.9333333333333333,0.9222222222222223,0.9222222222222223,0.865979381443299,0.8775510204081632,0.8762886597938144,0.89,0.8775510204081632,0.8681318681318682,0.9189189189189189,0.8288288288288288,0.9120879120879121,0.8521739130434782,0.8072289156626506,0.8888888888888888,0.8870967741935484,0.8461538461538461,0.8878504672897196,0.883495145631068,0.8,0.8653846153846154,0.8411214953271028,0.8725490196078431,0.9252336448598131,0.9142857142857143,0.9166666666666666,0.9032258064516129,0.897196261682243,0.8627450980392157,0.8415841584158416,0.8585858585858586,0.8461538461538461,0.8350515463917526,0.7938144329896908,0.8888888888888888,0.8709677419354839,0.8539325842696629,0.8817204301075269,0.8764044943820225,0.891566265060241,0.8981481481481481,0.8918918918918919,0.8709677419354839,0.8764044943820225,0.9130434782608696,0.2777777777777778,0.8631578947368421,0.5857142857142856,0.0,0.8125,0.8666666666666667,0.8709677419354839,0.9247311827956989,0.8640776699029127,0.84375,0.8586956521739131,0.8514851485148515,0.8640776699029127,0.865979381443299,0.8969072164948454,0.9056603773584906,0.8571428571428572,0.9069767441860466,0.9052631578947369,0.8958333333333334
2X8D_X8D,0.8795180722891567,0.8876404494382022,0.8513513513513513,0.8974358974358975,0.92,0.8648648648648649,0.8611111111111112,0.8928571428571429,0.8983050847457628,0.8620689655172413,0.8620689655172413,0.855072463768116,0.855072463768116,0.8695652173913043,0.8732394366197183,0.8382352941176471,0.8387096774193549,0.8734177215189873,0.8620689655172413,0.8275862068965517,0.8255813953488372,0.64,0.8441558441558441,0.8736842105263158,0.8875,0.8717948717948718,0.88,0.8333333333333334,0.8701298701298701,0.9186046511627907,0.8493150684931507,0.88,0.863013698630137,0.859375,0.890625,0.8701298701298701,0.881578947368421,0.8831168831168831,0.9066666666666666,0.8734177215189873,0.8611111111111112,0.8378378378378378,0.8688524590163934,0.8955223880597015,0.873015873015873,0.8769230769230769,0.8870967741935484,0.78,0.8571428571428572,0.8780487804878049,0.9117647058823529,0.8870967741935484,0.8941176470588236,0.8076923076923077,0.5740740740740741,0.7636363636363637,0.8125,0.0,0.38636363636363635,0.3913043478260869,0.85,0.8831168831168831,0.8732394366197183,0.3913043478260869,0.8513513513513513,0.8831168831168831,0.8873239436619719,0.9142857142857143,0.881578947368421,0.8428571428571429,0.875,0.9104477611940298,0.8805970149253731
2X8E_X8E,0.8636363636363636,0.8478260869565217,0.891566265060241,0.8795180722891567,0.9,0.8333333333333334,0.9012345679012346,0.9047619047619048,0.9090909090909091,0.8769230769230769,0.8412698412698413,0.821917808219178,0.821917808219178,0.881578947368421,0.84,0.821917808219178,0.8714285714285714,0.8705882352941177,0.8958333333333334,0.8636363636363636,0.8387096774193549,0.7704918032786885,0.8571428571428572,0.8932038834951457,0.8837209302325582,0.8414634146341463,0.8481012658227848,0.8648648648648649,0.8809523809523809,0.9247311827956989,0.8333333333333334,0.8481012658227848,0.875,0.8732394366197183,0.8857142857142857,0.8536585365853658,0.8354430379746836,0.8658536585365854,0.8875,0.8837209302325582,0.8875,0.8658536585365854,0.8656716417910448,0.9054054054054054,0.8857142857142857,0.8888888888888888,0.8985507246376812,0.8666666666666667,0.8271604938271605,0.8488372093023255,0.875,0.8985507246376812,0.8651685393258427,0.8636363636363636,0.5517241379310345,0.8636363636363636,0.8666666666666667,0.38636363636363635,0.0,0.4423076923076923,0.8656716417910448,0.9058823529411765,0.8987341772151899,0.34693877551020413,0.8641975308641976,0.8928571428571429,0.8533333333333333,0.922077922077922,0.9047619047619048,0.8717948717948718,0.8709677419354839,0.9189189189189189,0.8918918918918919
2X8I_X8I,0.8426966292134832,0.8762886597938144,0.8690476190476191,0.8705882352941177,0.9166666666666666,0.825,0.8780487804878049,0.8923076923076922,0.9130434782608696,0.8656716417910448,0.6896551724137931,0.7972972972972973,0.8289473684210527,0.8266666666666667,0.8607594936708861,0.7808219178082192,0.8285714285714285,0.8876404494382022,0.8645833333333334,0.8181818181818181,0.7802197802197802,0.7619047619047619,0.8488372093023255,0.875,0.9,0.8470588235294118,0.810126582278481,0.8552631578947368,0.872093023255814,0.9042553191489362,0.8536585365853658,0.8536585365853658,0.8375,0.8309859154929577,0.7538461538461538,0.8313253012048193,0.8414634146341463,0.8433734939759037,0.8641975308641976,0.8352941176470589,0.85,0.8292682926829268,0.8714285714285714,0.88,0.8591549295774648,0.863013698630137,0.8714285714285714,0.8548387096774194,0.6933333333333334,0.8791208791208791,0.88,0.8714285714285714,0.8571428571428572,0.8804347826086957,0.5967741935483871,0.8529411764705882,0.8709677419354839,0.3913043478260869,0.4423076923076923,0.0,0.855072463768116,0.8571428571428572,0.8461538461538461,0.4727272727272728,0.8414634146341463,0.8433734939759037,0.9012345679012346,0.9382716049382716,0.8823529411764706,0.8333333333333334,0.859375,0.922077922077922,0.881578947368421
2XEZ_XEZ,0.8863636363636364,0.9052631578947369,0.8888888888888888,0.8333333333333334,0.8831168831168831,0.7808219178082192,0.9259259259259259,0.9016393442622951,0.9393939393939394,0.890625,0.873015873015873,0.8493150684931507,0.8493150684931507,0.8472222222222222,0.8666666666666667,0.8648648648648649,0.8676470588235294,0.8941176470588236,0.8817204301075269,0.3023255813953488,0.8602150537634409,0.8769230769230769,0.8941176470588236,0.88,0.8941176470588236,0.8928571428571429,0.9146341463414634,0.8767123287671232,0.891566265060241,0.9230769230769231,0.858974358974359,0.858974358974359,0.8571428571428572,0.8695652173913043,0.8307692307692307,0.9176470588235294,0.8888888888888888,0.8765432098765432,0.8987341772151899,0.8809523809523809,0.9125,0.8902439024390244,0.8787878787878788,0.855072463768116,0.9142857142857143,0.9166666666666666,0.8787878787878788,0.9,0.7922077922077921,0.8850574712643678,0.9027777777777778,0.9117647058823529,0.8876404494382022,0.9230769230769231,0.8611111111111112,0.9104477611940298,0.9247311827956989,0.85,0.8656716417910448,0.855072463768116,0.0,0.9036144578313253,0.8961038961038961,0.855072463768116,0.8888888888888888,0.8765432098765432,0.8947368421052632,0.875,0.8461538461538461,0.868421052631579,0.9032258064516129,0.9166666666666666,0.8888888888888888
2YDJ_YDJ,0.8020833333333334,0.8137254901960784,0.797752808988764,0.6829268292682926,0.9042553191489362,0.8958333333333334,0.8571428571428572,0.8947368421052632,0.9259259259259259,0.8717948717948718,0.8266666666666667,0.8390804597701149,0.8651685393258427,0.8235294117647058,0.8539325842696629,0.7976190476190477,0.8395061728395061,0.89,0.8252427184466019,0.8607594936708861,0.8058252427184466,0.9024390243902439,0.8064516129032258,0.8584070796460177,0.8064516129032258,0.9,0.7954545454545454,0.8214285714285714,0.8404255319148937,0.8383838383838383,0.9072164948453608,0.8842105263157894,0.8709677419354839,0.8554216867469879,0.8518518518518519,0.8279569892473118,0.6103896103896104,0.6153846153846154,0.4477611940298507,0.45833333333333337,0.5945945945945945,0.65,0.8902439024390244,0.8433734939759037,0.8518518518518519,0.8953488372093024,0.8181818181818181,0.922077922077922,0.8775510204081632,0.8,0.896551724137931,0.8625,0.7789473684210526,0.8725490196078431,0.875,0.8461538461538461,0.8640776699029127,0.8831168831168831,0.9058823529411765,0.8571428571428572,0.9036144578313253,0.0,0.3548387096774194,0.8837209302325582,0.8617021276595744,0.8260869565217391,0.8901098901098901,0.8333333333333334,0.8969072164948454,0.8295454545454546,0.881578947368421,0.8953488372093024,0.8977272727272727
