,3QTF_05S,3R91_06H,3R92_06J,3RKZ_06T,4EGH_0OY,4FCR_0TM,2BYH_2D7,2BYI_2DD,2XDL_2DL,2CCT_2E1,2VCJ_2EQ,2UWD_2GG,2VCI_2GJ,2WI7_2KL,4NH8_2LC,4FCQ_2N6,4O04_2Q8,4O05_2Q9,4O0B_2QA,4O09_2R6,4W7T_3JC,3RLP_3RP,3RLQ_3RQ,3RLR_3RR,4XIP_40W,4XIR_40X,4XIQ_40Y,4XIT_40Z,1YC4_43P,1YC1_4BC,2CCS_4BH,3K97_4CD,4BQG_50Q,4AWQ_592,5J2X_6DL,5J27_6FF,5J6M_6FJ,5J64_6G7,5J6L_6GC,5J82_6GV,5J86_6GW,4CWN_6LV,2YI6_6QM,5GGZ_6TN,5LNY_70K,5LNZ_70Z,3HHU_819,3QDD_94M,4U93_990,4AWP_99A,4AWO_99B,5NYH_9EK,5ZR3_9J0,5VYY_9QY,5OCI_9R8,5ODX_9RZ,4B7P_9UN,2QG2_A91,2QG0_A94,3B24_B2J,3B25_B2K,3B26_B2L,3B27_B2T,3B28_B2X,6EI5_B5Q,6ELP_BA8,6ELO_BAW,3HEK_BD0,2BSM_BSM,3BM9_BXZ,2YI7_BZ8,2XHR_C0P,2XHT_C0Y,6EYB_C3Z,6EYA_C4K,6EY9_C4N,6EY8_C4T,6F1N_C8W,2BT0_CT5,3BMY_CXZ,4NH7_E0G,4EFT_EFT,4EFU_EFU,4O07_FGH,3R4N_FU5,3R4P_FU7,4CWS_G3R,4CWF_H05,2FWY_H64,2FWZ_H71,4CWR_HAJ,4EEH_HH6,5FNC_IEE,4CWT_IK9,5FND_IQ5,3INW_JZB,3INX_JZC,6OLX_KFY,2XJJ_L81,2XDU_LGA,3FT5_MO8,3FT8_MOJ,6CYH_N5A,6CYG_N5O,6ELN_P4A,3K99_PFT,1UYH_PU0,6EL5_PU1,1UYG_PU2,1UY8_PU5,1UY9_PU6,1UYC_PU7,1UYK_PUX,1UYI_PUZ,3EKR_PY9,3EKO_PYU,6U9A_Q2A,6U98_Q2D,4EGK_RDC,4L8Z_RL1,3D0B_SNX,4CWO_T62,5FNF_TQL,4CWP_TV2,3VHA_VHA,3VHC_VHC,2XAB_VHD,3VHD_VHE,4JQL_VJ6,4CWQ_W2D,3WHA_WHA,3R4M_WOE,2XDK_XDK,2XJG_XJG,2XJX_XJX,4BQJ_XKL,2YI0_YI0,2YI5_YI5,2YKI_YKI,2WI3_ZZ3,2WI4_ZZ4,2WI5_ZZ5,2WI6_ZZ6
3RLR_3RR,0.9368421052631579,0.9375,0.9381443298969072,0.941747572815534,0.9701492537313433,0.6111111111111112,0.8571428571428572,0.8765432098765432,0.8253968253968254,0.8354430379746836,0.875,0.8051948051948052,0.9032258064516129,0.7647058823529411,0.9387755102040817,0.7352941176470589,0.9647058823529412,0.9368421052631579,0.9325842696629214,0.9213483146067416,0.9166666666666666,0.6181818181818182,0.32692307692307687,0.0,0.9493670886075949,0.9139784946236559,0.9425287356321839,0.9166666666666666,0.875,0.8902439024390244,0.8591549295774648,0.8974358974358975,0.864406779661017,0.8709677419354839,0.8918918918918919,0.8837209302325582,0.9021739130434783,0.8904109589041096,0.8977272727272727,0.891566265060241,0.9010989010989011,0.8666666666666667,0.8666666666666667,0.9195402298850575,0.9247311827956989,0.9270833333333334,0.8837209302325582,0.8421052631578947,0.8452380952380952,0.9148936170212766,0.9090909090909091,0.9239130434782609,0.9166666666666666,0.875,0.9175257731958762,0.91,0.8924731182795699,0.8928571428571429,0.9,0.8813559322033898,0.8939393939393939,0.8767123287671232,0.8615384615384616,0.8734177215189873,0.8837209302325582,0.9012345679012346,0.8933333333333333,0.9347826086956522,0.7894736842105263,0.8970588235294118,0.8194444444444444,0.7972972972972973,0.9459459459459459,0.925,0.9148936170212766,0.898876404494382,0.9069767441860466,0.7439024390243902,0.9012345679012346,0.8641975308641976,0.9263157894736842,0.8831168831168831,0.9195402298850575,0.9368421052631579,0.8266666666666667,0.84375,0.9239130434782609,0.9154929577464789,0.9247311827956989,0.9247311827956989,0.9166666666666666,0.9047619047619048,0.8484848484848485,0.9010989010989011,0.8656716417910448,0.9375,0.9361702127659575,0.8607594936708861,0.9358974358974359,0.9423076923076923,0.90625,0.8977272727272727,0.9294117647058824,0.9294117647058824,0.791044776119403,0.9571428571428572,0.8658536585365854,0.8333333333333334,0.8082191780821918,0.891566265060241,0.9302325581395349,0.8641975308641976,0.9310344827586207,0.8588235294117648,0.9367088607594937,0.9516129032258065,0.956140350877193,0.956140350877193,0.9302325581395349,0.9204545454545454,0.9120879120879121,0.9210526315789473,0.9444444444444444,0.926829268292683,0.9,0.8953488372093024,0.9459459459459459,0.8875,0.8877551020408163,0.9333333333333333,0.8876404494382022,0.7704918032786885,0.9393939393939394,0.863013698630137,0.9534883720930233,0.8705882352941177,0.7761194029850746,0.7611940298507462,0.9139784946236559,0.875,0.8472222222222222,0.8076923076923077,0.8157894736842105
4XIP_40W,0.6,0.625,0.5915492957746479,0.6582278481012658,0.8214285714285714,0.9101123595505618,0.881578947368421,0.9135802469135803,0.8548387096774194,0.8875,0.8837209302325582,0.9012345679012346,0.8876404494382022,0.8913043478260869,0.5147058823529411,0.9078947368421053,0.4545454545454546,0.7435897435897436,0.5625,0.5692307692307692,0.7704918032786885,0.9264705882352942,0.9367088607594937,0.9493670886075949,0.0,0.6575342465753424,0.540983606557377,0.6710526315789473,0.9014084507042254,0.8860759493670887,0.9014084507042254,0.8309859154929577,0.9333333333333333,0.8539325842696629,0.855072463768116,0.8658536585365854,0.8735632183908046,0.8695652173913043,0.8674698795180723,0.858974358974359,0.8588235294117648,0.9066666666666666,0.9066666666666666,0.8902439024390244,0.8588235294117648,0.8764044943820225,0.8375,0.8961038961038961,0.825,0.7926829268292683,0.8202247191011236,0.8571428571428572,0.7682926829268293,0.8701298701298701,0.8539325842696629,0.8842105263157894,0.8764044943820225,0.875,0.8705882352941177,0.9322033898305084,0.8888888888888888,0.8873239436619719,0.890625,0.8831168831168831,0.8658536585365854,0.925,0.8732394366197183,0.8953488372093024,0.9012345679012346,0.9090909090909091,0.9210526315789473,0.9382716049382716,0.8095238095238095,0.9078947368421053,0.875,0.8953488372093024,0.9036144578313253,0.8764044943820225,0.8831168831168831,0.9146341463414634,0.6438356164383562,0.9358974358974359,0.8902439024390244,0.7435897435897436,0.8961038961038961,0.8631578947368421,0.9090909090909091,0.8955223880597015,0.9222222222222223,0.9222222222222223,0.9135802469135803,0.935483870967742,0.9104477611940298,0.9101123595505618,0.8412698412698413,0.8620689655172413,0.8588235294117648,0.9259259259259259,0.8235294117647058,0.9166666666666666,0.8448275862068966,0.825,0.8860759493670887,0.8717948717948718,0.9014084507042254,0.8524590163934427,0.9285714285714286,0.9444444444444444,0.9367088607594937,0.9012345679012346,0.9012345679012346,0.9146341463414634,0.9156626506024097,0.9318181818181819,0.8260869565217391,0.8518518518518519,0.9056603773584906,0.9056603773584906,0.8734177215189873,0.85,0.7532467532467533,0.9027777777777778,0.9104477611940298,0.9102564102564102,0.881578947368421,0.8641975308641976,0.828125,0.8831168831168831,0.8478260869565217,0.9186046511627907,0.8571428571428572,0.8923076923076922,0.8833333333333333,0.8405797101449275,0.8701298701298701,0.8928571428571429,0.9178082191780822,0.9189189189189189,0.898876404494382,0.9285714285714286,0.9333333333333333,0.8607594936708861,0.8987341772151899
4XIR_40X,0.6190476190476191,0.6235294117647059,0.627906976744186,0.6521739130434783,0.8947368421052632,0.8613861386138614,0.8804347826086957,0.8723404255319149,0.8734177215189873,0.8369565217391304,0.8367346938775511,0.8494623655913979,0.8529411764705882,0.8461538461538461,0.6923076923076923,0.925531914893617,0.6794871794871795,0.7659574468085106,0.735632183908046,0.7386363636363636,0.8227848101265822,0.8765432098765432,0.9032258064516129,0.9139784946236559,0.6575342465753424,0.0,0.5540540540540541,0.47435897435897434,0.8837209302325582,0.8478260869565217,0.8705882352941177,0.7831325301204819,0.8918918918918919,0.8679245283018868,0.8452380952380952,0.8064516129032258,0.8163265306122449,0.8571428571428572,0.782608695652174,0.8369565217391304,0.8020833333333334,0.9010989010989011,0.9010989010989011,0.8645833333333334,0.8613861386138614,0.8316831683168316,0.84375,0.8681318681318682,0.8333333333333334,0.8061224489795918,0.8173076923076923,0.86,0.81,0.8586956521739131,0.8461538461538461,0.8623853211009174,0.8653846153846154,0.8631578947368421,0.8712871287128713,0.92,0.9135802469135803,0.8850574712643678,0.9012345679012346,0.8695652173913043,0.8787878787878788,0.8695652173913043,0.8604651162790697,0.8229166666666666,0.8494623655913979,0.9156626506024097,0.8764044943820225,0.8571428571428572,0.8658536585365854,0.9021739130434783,0.8529411764705882,0.8350515463917526,0.8404255319148937,0.8761904761904762,0.8444444444444444,0.8854166666666666,0.6853932584269663,0.9021739130434783,0.8526315789473684,0.7526881720430108,0.8426966292134832,0.8440366972477065,0.8823529411764706,0.891566265060241,0.9047619047619048,0.8942307692307693,0.8842105263157894,0.9230769230769231,0.8625,0.883495145631068,0.8625,0.8181818181818181,0.8144329896907216,0.9175257731958762,0.8470588235294118,0.9393939393939394,0.9240506329113924,0.845360824742268,0.8842105263157894,0.8723404255319149,0.9090909090909091,0.8717948717948718,0.8979591836734694,0.9134615384615384,0.9375,0.8854166666666666,0.8617021276595744,0.8969072164948454,0.8631578947368421,0.9333333333333333,0.8214285714285714,0.8888888888888888,0.8833333333333333,0.8833333333333333,0.8241758241758241,0.8775510204081632,0.7472527472527473,0.8977272727272727,0.9294117647058824,0.8804347826086957,0.8555555555555556,0.8421052631578947,0.8518518518518519,0.8817204301075269,0.819047619047619,0.89,0.8367346938775511,0.875,0.9240506329113924,0.8470588235294118,0.8709677419354839,0.8673469387755102,0.8977272727272727,0.898876404494382,0.8952380952380953,0.9459459459459459,0.898876404494382,0.8631578947368421,0.8586956521739131
4XIQ_40Y,0.5733333333333333,0.5789473684210527,0.5844155844155844,0.5975609756097561,0.8095238095238095,0.8842105263157894,0.8809523809523809,0.9101123595505618,0.8405797101449275,0.8863636363636364,0.8586956521739131,0.8863636363636364,0.8631578947368421,0.89,0.6746987951807228,0.891566265060241,0.53125,0.7261904761904762,0.7375,0.7407407407407407,0.8169014084507042,0.9210526315789473,0.9186046511627907,0.9425287356321839,0.540983606557377,0.5540540540540541,0.0,0.5333333333333333,0.8987341772151899,0.8452380952380952,0.8987341772151899,0.85,0.9104477611940298,0.8556701030927836,0.8266666666666667,0.8275862068965517,0.8111111111111111,0.8243243243243243,0.8295454545454546,0.8192771084337349,0.8222222222222222,0.9036144578313253,0.9036144578313253,0.8888888888888888,0.8478260869565217,0.8645833333333334,0.8539325842696629,0.9069767441860466,0.8295454545454546,0.8131868131868132,0.8367346938775511,0.8461538461538461,0.75,0.8705882352941177,0.84375,0.8725490196078431,0.8526315789473684,0.8352941176470589,0.8068181818181819,0.9411764705882353,0.8714285714285714,0.8571428571428572,0.904109589041096,0.8690476190476191,0.8409090909090909,0.8953488372093024,0.8734177215189873,0.8936170212765957,0.898876404494382,0.8904109589041096,0.9166666666666666,0.9080459770114943,0.782608695652174,0.9047619047619048,0.851063829787234,0.8817204301075269,0.8888888888888888,0.8645833333333334,0.8125,0.8735632183908046,0.6829268292682926,0.9302325581395349,0.8764044943820225,0.7261904761904762,0.8941176470588236,0.875,0.8709677419354839,0.9078947368421053,0.8723404255319149,0.8842105263157894,0.872093023255814,0.9285714285714286,0.9066666666666666,0.8723404255319149,0.8611111111111112,0.8260869565217391,0.8222222222222222,0.9090909090909091,0.8289473684210527,0.9298245614035088,0.8823529411764706,0.8426966292134832,0.872093023255814,0.8588235294117648,0.8846153846153846,0.855072463768116,0.9120879120879121,0.9166666666666666,0.9310344827586207,0.8863636363636364,0.8604651162790697,0.898876404494382,0.875,0.9157894736842105,0.8461538461538461,0.873015873015873,0.8738738738738738,0.8738738738738738,0.8470588235294118,0.8390804597701149,0.7349397590361446,0.9,0.9066666666666666,0.8674698795180723,0.8536585365853658,0.8390804597701149,0.8493150684931507,0.8823529411764706,0.85,0.8791208791208791,0.8461538461538461,0.9054054054054054,0.9142857142857143,0.858974358974359,0.8837209302325582,0.8666666666666667,0.9135802469135803,0.9146341463414634,0.9081632653061225,0.9384615384615385,0.8875,0.8620689655172413,0.8837209302325582
4XIT_40Z,0.6,0.5882352941176471,0.5930232558139534,0.6043956043956045,0.8701298701298701,0.8653846153846154,0.8723404255319149,0.8526315789473684,0.8780487804878049,0.8297872340425532,0.8181818181818181,0.8541666666666666,0.8461538461538461,0.839622641509434,0.7021276595744681,0.9166666666666666,0.641025641025641,0.7473684210526316,0.7444444444444445,0.7333333333333334,0.8433734939759037,0.8809523809523809,0.8947368421052632,0.9166666666666666,0.6710526315789473,0.47435897435897434,0.5333333333333333,0.0,0.8876404494382022,0.8526315789473684,0.8620689655172413,0.8045977011494253,0.881578947368421,0.8611111111111112,0.8372093023255813,0.8367346938775511,0.7340425531914894,0.8488372093023255,0.826530612244898,0.8172043010752688,0.8200000000000001,0.9042553191489362,0.9042553191489362,0.8686868686868687,0.854368932038835,0.8584905660377359,0.86,0.8723404255319149,0.85,0.8118811881188119,0.8333333333333334,0.8529411764705882,0.803921568627451,0.851063829787234,0.8285714285714285,0.8660714285714286,0.8584905660377359,0.8315789473684211,0.8640776699029127,0.9367088607594937,0.8902439024390244,0.8764044943820225,0.891566265060241,0.8617021276595744,0.86,0.8617021276595744,0.8651685393258427,0.8282828282828283,0.8541666666666666,0.9058823529411765,0.8804347826086957,0.8494623655913979,0.8433734939759037,0.8936170212765957,0.8461538461538461,0.8282828282828283,0.8333333333333334,0.8584905660377359,0.8617021276595744,0.8541666666666666,0.6813186813186813,0.8936170212765957,0.845360824742268,0.7204301075268817,0.8222222222222222,0.8482142857142857,0.8962264150943396,0.9080459770114943,0.897196261682243,0.897196261682243,0.898989898989899,0.9259259259259259,0.8674698795180723,0.8867924528301887,0.8674698795180723,0.8118811881188119,0.8080808080808081,0.92,0.8390804597701149,0.9420289855072463,0.9135802469135803,0.8613861386138614,0.8877551020408163,0.8762886597938144,0.9,0.8625,0.9223300970873787,0.9056603773584906,0.9285714285714286,0.9,0.8888888888888888,0.9108910891089109,0.900990099009901,0.9252336448598131,0.8409090909090909,0.8933333333333333,0.8770491803278688,0.8770491803278688,0.8541666666666666,0.846938775510204,0.7419354838709677,0.9010989010989011,0.9195402298850575,0.8958333333333334,0.8602150537634409,0.846938775510204,0.8571428571428572,0.8854166666666666,0.8348623853211009,0.9038461538461539,0.83,0.8795180722891567,0.9,0.8522727272727273,0.851063829787234,0.8712871287128713,0.8888888888888888,0.8901098901098901,0.8773584905660378,0.948051948051948,0.8901098901098901,0.8673469387755102,0.8631578947368421
1YC4_43P,0.896551724137931,0.8850574712643678,0.898876404494382,0.9052631578947369,0.896551724137931,0.8414634146341463,0.7971014492753623,0.821917808219178,0.7678571428571428,0.7571428571428571,0.825,0.7916666666666666,0.8170731707317074,0.8372093023255813,0.9120879120879121,0.8428571428571429,0.8933333333333333,0.896551724137931,0.9024390243902439,0.8765432098765432,0.8939393939393939,0.873015873015873,0.8611111111111112,0.875,0.9014084507042254,0.8837209302325582,0.8987341772151899,0.8876404494382022,0.0,0.6349206349206349,0.8307692307692307,0.8428571428571429,0.8518518518518519,0.8764044943820225,0.7580645161290323,0.7534246575342466,0.7848101265822784,0.7741935483870968,0.7567567567567568,0.7746478873239436,0.7974683544303798,0.8732394366197183,0.5964912280701755,0.7972972972972973,0.8414634146341463,0.8192771084337349,0.7866666666666666,0.8783783783783784,0.8354430379746836,0.872093023255814,0.8804347826086957,0.8395061728395061,0.875,0.7681159420289855,0.8235294117647058,0.8444444444444444,0.8470588235294118,0.8571428571428572,0.8809523809523809,0.9107142857142857,0.8852459016393442,0.8676470588235294,0.8688524590163934,0.8947368421052632,0.8333333333333334,0.7462686567164178,0.6071428571428572,0.8795180722891567,0.7571428571428571,0.7931034482758621,0.7301587301587302,0.8648648648648649,0.8412698412698413,0.8088235294117647,0.8170731707317074,0.8227848101265822,0.8133333333333334,0.8604651162790697,0.6666666666666667,0.8082191780821918,0.8977272727272727,0.8591549295774648,0.8133333333333334,0.8705882352941177,0.8309859154929577,0.8351648351648352,0.9069767441860466,0.875,0.8953488372093024,0.8953488372093024,0.868421052631579,0.8148148148148149,0.873015873015873,0.8823529411764706,0.890625,0.8588235294117648,0.8690476190476191,0.8961038961038961,0.835820895522388,0.8888888888888888,0.9516129032258065,0.85,0.9113924050632911,0.9113924050632911,0.7741935483870968,0.8275862068965517,0.8421052631578947,0.8795180722891567,0.8450704225352113,0.84,0.8552631578947368,0.84,0.8571428571428572,0.8641975308641976,0.8382352941176471,0.8461538461538461,0.9038461538461539,0.9038461538461539,0.84,0.8311688311688312,0.8809523809523809,0.8676470588235294,0.8548387096774194,0.8933333333333333,0.863013698630137,0.8461538461538461,0.8032786885245902,0.8648648648648649,0.8936170212765957,0.8902439024390244,0.8941176470588236,0.8333333333333334,0.8596491228070176,0.8181818181818181,0.8356164383561644,0.8026315789473684,0.7777777777777778,0.78125,0.8837209302325582,0.9259259259259259,0.8529411764705882,0.8571428571428572,0.8356164383561644
1YC1_4BC,0.8723404255319149,0.8617021276595744,0.875,0.8712871287128713,0.8253968253968254,0.8461538461538461,0.8076923076923077,0.8148148148148149,0.803030303030303,0.7236842105263157,0.7469879518072289,0.7564102564102564,0.7558139534883721,0.8421052631578947,0.8877551020408163,0.8765432098765432,0.8795180722891567,0.8958333333333334,0.9010989010989011,0.8777777777777778,0.8472222222222222,0.8904109589041096,0.891566265060241,0.8902439024390244,0.8860759493670887,0.8478260869565217,0.8452380952380952,0.8526315789473684,0.6349206349206349,0.0,0.8055555555555556,0.8333333333333334,0.8923076923076922,0.8888888888888888,0.7746478873239436,0.7530864197530864,0.7529411764705882,0.7887323943661972,0.725,0.7721518987341772,0.7647058823529411,0.9024390243902439,0.6567164179104478,0.8214285714285714,0.75,0.7142857142857143,0.8255813953488372,0.9058823529411765,0.813953488372093,0.8736842105263158,0.87,0.7469879518072289,0.8645833333333334,0.8125,0.7640449438202247,0.8,0.8387096774193549,0.8470588235294118,0.8695652173913043,0.9242424242424242,0.8695652173913043,0.8552631578947368,0.8873239436619719,0.8674698795180723,0.7976190476190477,0.7948717948717949,0.6461538461538461,0.8555555555555556,0.7236842105263157,0.8059701492537313,0.7671232876712328,0.8674698795180723,0.7971014492753623,0.8026315789473684,0.6790123456790124,0.8023255813953488,0.7777777777777778,0.8387096774193549,0.43333333333333335,0.8024691358024691,0.8854166666666666,0.8481012658227848,0.7777777777777778,0.8723404255319149,0.8928571428571429,0.8627450980392157,0.7906976744186046,0.8918918918918919,0.8461538461538461,0.8461538461538461,0.7848101265822784,0.7666666666666666,0.875,0.75,0.8904109589041096,0.8111111111111111,0.8202247191011236,0.9204545454545454,0.8421052631578947,0.9473684210526316,0.9285714285714286,0.8409090909090909,0.9090909090909091,0.896551724137931,0.7164179104477613,0.8529411764705882,0.8735632183908046,0.9042553191489362,0.8780487804878049,0.8977272727272727,0.7721518987341772,0.8850574712643678,0.759493670886076,0.8913043478260869,0.8441558441558441,0.8709677419354839,0.8518518518518519,0.8518518518518519,0.8313253012048193,0.8372093023255813,0.8817204301075269,0.8846153846153846,0.8904109589041096,0.7763157894736842,0.8518518518518519,0.8372093023255813,0.8309859154929577,0.8674698795180723,0.8823529411764706,0.7831325301204819,0.8571428571428572,0.8888888888888888,0.8970588235294118,0.8571428571428572,0.8125,0.8255813953488372,0.7916666666666666,0.7945205479452055,0.8958333333333334,0.9375,0.8571428571428572,0.8470588235294118,0.8271604938271605
2CCS_4BH,0.8705882352941177,0.8850574712643678,0.8863636363636364,0.8936170212765957,0.8571428571428572,0.8690476190476191,0.5932203389830508,0.6129032258064516,0.8870967741935484,0.5,0.7466666666666666,0.7746478873239436,0.8313253012048193,0.8505747126436781,0.9239130434782609,0.9054054054054054,0.8933333333333333,0.896551724137931,0.9024390243902439,0.9036144578313253,0.9104477611940298,0.873015873015873,0.8611111111111112,0.8591549295774648,0.9014084507042254,0.8705882352941177,0.8987341772151899,0.8620689655172413,0.8307692307692307,0.8055555555555556,0.0,0.734375,0.8076923076923077,0.9130434782608696,0.7580645161290323,0.8026315789473684,0.8148148148148149,0.7741935483870968,0.8051948051948052,0.7916666666666666,0.8271604938271605,0.904109589041096,0.8405797101449275,0.8441558441558441,0.782051282051282,0.7901234567901234,0.8333333333333334,0.9078947368421053,0.891566265060241,0.8977272727272727,0.8924731182795699,0.7792207792207793,0.8876404494382022,0.8194444444444444,0.7951807228915663,0.8045977011494253,0.8604651162790697,0.926829268292683,0.9318181818181819,0.9661016949152542,0.8852459016393442,0.8676470588235294,0.8688524590163934,0.8493150684931507,0.8902439024390244,0.7647058823529411,0.7619047619047619,0.7922077922077921,0.7014925373134329,0.8333333333333334,0.7301587301587302,0.8333333333333334,0.8412698412698413,0.8088235294117647,0.8452380952380952,0.8518518518518519,0.8441558441558441,0.9111111111111111,0.782608695652174,0.7205882352941176,0.8977272727272727,0.8428571428571429,0.8734177215189873,0.896551724137931,0.8783783783783784,0.8958333333333334,0.8941176470588236,0.9090909090909091,0.9204545454545454,0.9204545454545454,0.8974358974358975,0.8363636363636364,0.873015873015873,0.8690476190476191,0.9076923076923077,0.8313253012048193,0.8554216867469879,0.9375,0.8529411764705882,0.9361702127659575,0.9516129032258065,0.8780487804878049,0.9382716049382716,0.9382716049382716,0.8307692307692307,0.847457627118644,0.926829268292683,0.9186046511627907,0.9210526315789473,0.9259259259259259,0.9125,0.9259259259259259,0.9135802469135803,0.9302325581395349,0.8382352941176471,0.8679245283018868,0.9245283018867925,0.9245283018867925,0.8552631578947368,0.8311688311688312,0.8941176470588236,0.8676470588235294,0.8548387096774194,0.8933333333333333,0.8783783783783784,0.875,0.8412698412698413,0.88,0.9166666666666666,0.8765432098765432,0.8536585365853658,0.8524590163934427,0.9166666666666666,0.8529411764705882,0.8356164383561644,0.8902439024390244,0.7166666666666667,0.7213114754098361,0.9090909090909091,0.9642857142857143,0.8529411764705882,0.9135802469135803,0.8513513513513513
3K97_4CD,0.8117647058823529,0.8,0.788235294117647,0.8152173913043479,0.8103448275862069,0.8764044943820225,0.7605633802816901,0.7866666666666666,0.84375,0.7397260273972603,0.7625,0.7894736842105263,0.8275862068965517,0.8461538461538461,0.8314606741573034,0.9113924050632911,0.8421052631578947,0.8777777777777778,0.8271604938271605,0.8837209302325582,0.8181818181818181,0.8656716417910448,0.8987341772151899,0.8974358974358975,0.8309859154929577,0.7831325301204819,0.85,0.8045977011494253,0.8428571428571429,0.8333333333333334,0.734375,0.0,0.8448275862068966,0.8333333333333334,0.8115942028985508,0.8148148148148149,0.7976190476190477,0.8260869565217391,0.7721518987341772,0.8205128205128205,0.7654320987654322,0.881578947368421,0.8666666666666667,0.7631578947368421,0.7804878048780488,0.8023255813953488,0.8433734939759037,0.8860759493670887,0.8313253012048193,0.8,0.8260869565217391,0.7777777777777778,0.8695652173913043,0.7837837837837838,0.7790697674418605,0.7471264367816092,0.8160919540229885,0.8795180722891567,0.8876404494382022,0.9523809523809523,0.8769230769230769,0.8767123287671232,0.8615384615384616,0.8734177215189873,0.8433734939759037,0.8133333333333334,0.8142857142857143,0.6756756756756757,0.7894736842105263,0.8805970149253731,0.8028169014084507,0.8734177215189873,0.78125,0.868421052631579,0.813953488372093,0.7901234567901234,0.7948717948717949,0.8924731182795699,0.8441558441558441,0.7894736842105263,0.8409090909090909,0.8533333333333333,0.7948717948717949,0.8901098901098901,0.8571428571428572,0.8673469387755102,0.9120879120879121,0.8840579710144928,0.9247311827956989,0.9247311827956989,0.9036144578313253,0.9047619047619048,0.8656716417910448,0.9130434782608696,0.8656716417910448,0.813953488372093,0.8372093023255813,0.9285714285714286,0.7230769230769231,0.9423076923076923,0.9230769230769231,0.8452380952380952,0.9036144578313253,0.9166666666666666,0.875,0.7192982456140351,0.9186046511627907,0.9230769230769231,0.9259259259259259,0.9176470588235294,0.9176470588235294,0.9176470588235294,0.9186046511627907,0.9222222222222223,0.2857142857142857,0.7962962962962963,0.8666666666666667,0.8666666666666667,0.7733333333333333,0.7162162162162162,0.8072289156626506,0.8611111111111112,0.8484848484848485,0.8860759493670887,0.8571428571428572,0.8554216867469879,0.6779661016949152,0.8734177215189873,0.8877551020408163,0.896551724137931,0.8620689655172413,0.8461538461538461,0.9230769230769231,0.703125,0.75,0.8705882352941177,0.7941176470588236,0.7971014492753623,0.8522727272727273,0.95,0.8783783783783784,0.8928571428571429,0.8607594936708861
4BQG_50Q,0.9210526315789473,0.922077922077922,0.9230769230769231,0.9285714285714286,0.8636363636363636,0.875,0.8305084745762712,0.8387096774193549,0.8541666666666666,0.8412698412698413,0.8571428571428572,0.7833333333333333,0.8933333333333333,0.8831168831168831,0.9506172839506173,0.9193548387096774,0.9384615384615385,0.9620253164556962,0.9589041095890412,0.9594594594594594,0.9272727272727272,0.8367346938775511,0.8666666666666667,0.864406779661017,0.9333333333333333,0.8918918918918919,0.9104477611940298,0.881578947368421,0.8518518518518519,0.8923076923076922,0.8076923076923077,0.8448275862068966,0.0,0.925,0.875,0.8840579710144928,0.9066666666666666,0.8518518518518519,0.9014084507042254,0.8769230769230769,0.9054054054054054,0.8813559322033898,0.8214285714285714,0.8970588235294118,0.9054054054054054,0.9090909090909091,0.8840579710144928,0.9047619047619048,0.9166666666666666,0.922077922077922,0.927710843373494,0.904109589041096,0.9240506329113924,0.8360655737704918,0.9113924050632911,0.9024390243902439,0.8169014084507042,0.8955223880597015,0.9333333333333333,0.9555555555555556,0.8979591836734694,0.9137931034482758,0.8541666666666666,0.8524590163934427,0.9154929577464789,0.8135593220338984,0.8771929824561404,0.8382352941176471,0.7833333333333333,0.8333333333333334,0.7547169811320755,0.8709677419354839,0.8653846153846154,0.8833333333333333,0.9078947368421053,0.8714285714285714,0.8636363636363636,0.8947368421052632,0.8888888888888888,0.8225806451612903,0.922077922077922,0.8448275862068966,0.8970588235294118,0.9620253164556962,0.85,0.8780487804878049,0.8888888888888888,0.9259259259259259,0.948051948051948,0.948051948051948,0.9253731343283582,0.8095238095238095,0.8367346938775511,0.8591549295774648,0.9038461538461539,0.8933333333333333,0.875,0.9242424242424242,0.896551724137931,0.9090909090909091,0.9591836734693877,0.9014084507042254,0.9411764705882353,0.9411764705882353,0.7843137254901961,0.851063829787234,0.8787878787878788,0.9027777777777778,0.8666666666666667,0.8939393939393939,0.9264705882352942,0.8769230769230769,0.927536231884058,0.8857142857142857,0.8793103448275862,0.8205128205128205,0.9473684210526316,0.9473684210526316,0.8939393939393939,0.8985507246376812,0.8888888888888888,0.8113207547169812,0.8367346938775511,0.921875,0.921875,0.9295774647887324,0.8867924528301887,0.9230769230769231,0.9285714285714286,0.9305555555555556,0.8571428571428572,0.8333333333333334,0.9148936170212766,0.8571428571428572,0.9076923076923077,0.796875,0.74,0.7924528301886793,0.935064935064935,0.9523809523809523,0.8571428571428572,0.8615384615384616,0.8548387096774194
